title,skillset,category
Operations and Cyber Security Lead,"Responsibilities (Include but are not limited to): Operational Leadership: • Oversee daily operations, ensuring efficiency, reliability, and scalability.
• Conduct cyber security assessment on all new vendors supplying technology related products and/or services Qualifications • Bachelor's degree in Computer Science, Cyber Security, or a related field.
About You • 5 years of experience in operations management, with a strong focus on cyber security.
• Excellent leadership, communication, and interpersonal skills, with the ability to identify and resolve complex technical and operational issues.",3
Offensive Security and Threat Prevention Manager,"To be successful as the Offensive Security and Threat Prevention Manager You Will Red and Purple Team Operations: Lead and conduct red and purple team exercises to evaluate SOC/blue team effectiveness, including managing full delivery lifecycle—scoping, risk management, execution, reporting, and remediation.
Qualifications Bachelor’s or master’s degree in computer science, business, or a related discipline.
Skills And Experience Extensive Cyber Security Experience: Over 5 years of hands-on experience in penetration testing, red team operations, and threat hunting, with demonstrated application of red team techniques and development of custom TTPs.
Technical Proficiency in Tools and Scripting: Proficient in scripting languages like PowerShell and Python, with hands-on experience using security tools such as CrowdStrike and Splunk.
Infrastructure and Technology Expertise: Solid understanding of network/server infrastructure operational technology (SCADA, PLCs), and practical experience across diverse environments including applications, databases, code review, cloud, mobile, and IoT.
Proven people management skills and ability to train junior staffs to elevate their offensive security skills.
Feel empowered to take on diverse challenges and new responsibilities to move you, our customers, and our world further.
Are you excited about this role but are concerned you don’t meet all the requirements?
If you have similar skills and are willing to learn then we encourage you to apply anyway.
At Toll, we value a diverse, inclusive and authentic workplace, so if you’re interested in this role but your past experience doesn’t align perfectly then please talk to us – you may be just the right candidate for this or other roles we have coming up.",4
Application Security Engineer,"You'll work closely with development teams, cloud engineers, and cyber leads to: Design and implement secure solutions across our Azure-based platforms Lead threat modelling, security architecture reviews, and pen testing coordination Drive Shift-Left initiatives and champion DevSecOps practices Influence and guide secure coding across cross-functional teams What we’re looking for: 4+ years in software development or application security Experience with OWASP, SAST/IAST tools, and Azure DevOps Proficiency in .NET, Python, or JavaScript Strong understanding of secure coding, CI/CD pipelines, and cloud security best practices Show more Show less Seniority level Mid-Senior level Employment type Full-time Job function Consulting Industries Hospitals and Health Care",3
IT Project Manager,"Perth Airport is investing more than $5 billion in new infrastructure so we can support our airline partners to grow, offering more services to new destinations and an improved customer experience.
This will deliver one airport for the people of Western Australia which will host all flight services in a central location giving passengers a seamless, world-class travel experience.
Our team are currently looking for an experienced and enthusiastic IT Project Manager.
Your role will also involve driving procurement of goods and services , ensuring project compliance with cyber security standards, and budgeting, forecasting and financial management of projects.
A minimum of 5 years’ experience as a Senior Project Manager delivering both software and infrastructure projects Strong stakeholder engagement skills, with the ability to lead diverse teams and manage vendor relationships effectively.
Excellent communication and negotiation skills, with a collaborative and approachable style.
A proactive attitude towards change, with experience in leading projects with an organisational change management component Familiarity with Microsoft Project and A strong understanding of cyber security considerations in project delivery.",4
Cyber Risk Consultant,"Opportunity for a risk management professional to join our Cyber Consulting team Great trajectory to expand and develop as a Cyber subject matter expert consultant under a highly experienced and commendable Cyber leadership team Full time, permanent opportunity based in Sydney Cyber Risk Consultant This role is responsible for helping to set the strategy in relation to Aon’s Cyber Risk endeavours.
In the role you will be executing the provision of Cyber Risk consulting services to a variety of clients within our corporate and global segments.
You will be working closely with our Cyber Risk Quant Lead for APAC, our national Cyber Solutions Team and collaborating with various local and regional teams to deliver best in class Cyber Insurance risk transfer solutions across Aon portfolios in Australia, New Zealand and the APAC region.
What The Day Will Look Like Build and expand technical knowledge of Cyber security and/or Cyber risk management, and be deployed as a technical resource to the business (in the pursuit of high value Cyber Risk Consulting and Insurance engagements); Application of qualitative and quantitative risk analysis skills in the field of Cyber risks; Assist key existing and prospective clients by providing Cyber Risk insights and advice; Present to C-suite executives and boards / senior executives, and have the ability to explain this complex area to various different audiences (including Aon colleagues); Work with the regional and global Cyber Solutions Group team to develop and evolve a range of consulting services that are tailored to meet the Cyber risk needs of our clients; Articulating service and their value to clients both, internally and externally; Assist in tenders and build an (internal) network to source opportunities and new client engagements; Apply your thought leadership skills to hot topics in the field of Cyber Risk.
How This Opportunity Is Different As an Aon colleague, you will never be limited by your job title.
Instead, you will learn and grow alongside some of the most talented people in the business, who genuinely want you to be the best version of yourself.
Skills And Experience That Will Lead To Success Experience in risk management or professional services at intermediate level.
Knowledge and experience (including Tertiary qualifications) working within the Cyber risk space; whether this has arisen from an IT security, legal, fraud, accounting or compliance background is advantageous.
Excellent analytical, written and oral communication skills, with the highest standard of presentation.
Strong time management skills and proven experience working in a high-pressure professional environment.
Experience at engaging with clients - from middle management to senior executives and Board members.
Build and expand qualitative and quantitative risk analysis skills.",0
Cyber Security Data Analytics Specialist,"Your new role Develops and maintains Power BI solutions, including data models, dashboards, and automated reports that integrate cybersecurity data from multiple operational domains Creates and optimises data pipelines, APIs, and integration workflows to extract and transform security data from diverse sources into consistent analytical formats Coordinates the establishment of technical infrastructure supporting enterprise cybersecurity reporting requirements for governance, compliance, and executive stakeholders Collaborates with cybersecurity domain teams to understand data structures, establish extraction processes, and ensure data quality and consistency Implements automated reporting solutions that reduce manual effort while maintaining accuracy and enabling self-service analytics capabilities Maintains data governance standards and security protocols for sensitive cybersecurity information and reporting platforms Provides technical expertise and rapid development capabilities to support evolving governance and reporting requirements Partners with cybersecurity governance specialists to translate strategic reporting needs into technical solutions and data visualisations About You Hands-on experience with Power BI development, SQL, and data integration technologies Understanding of cybersecurity concepts and familiarity with security data sources Demonstrated ability to work collaboratively in team environments Strong problem-solving skills with the ability to learn new technologies and adapt to changing requirements Professional growth mindset with interest in developing expertise in cybersecurity analytics About QBE We can never really predict what’s around the corner, but at QBE we’re asking the right questions to enable a more resilient future – helping those around us build strength and embrace change to their advantage.
As a QBE employee you will have access to and benefit from: ‘Hybrid Working’ – a mix of working from home and in the office to enhance your work/life balance Our ‘Thriving at our Best’ wellbeing program, including free holistic wellbeing coaching, nutritional, confidential counselling, financial and legal advice 18 weeks’ gender-equal flexible leave for all new parents, including paid super The ability to maximise retirement savings through voluntary super contributions and company matching Income protection insurance & reimbursed Death and Total Permanent Disability insurance premiums Additional leave and support through QBE’s Family Domestic Violence First Responder Network Discounts on insurance products, car hire, hotels, goods and services including benefits through our various sports and arts sponsorship partners Rewards & Recognition We value our employee’s experience with us and are proud to have been recognised for the following awards: 2021 LinkedIn Top Employer & HRD Employer of Choice 2020 Best Workplace Diversity & Inclusion and Excellence Award for Best Health & Wellbeing at the Australian HR Awards Platinum employer on the Australian Workplace Equality Index (AWEI) – the definitive national benchmark on LGBTQI+ workplace inclusion Ranked 3rd place in the AAGE Top Graduate Employers 2024 for medium sized program as voted by graduates Top 20 Workplaces for Dads in 2019 and 2020 (HBF Direct Advice for Dads) Family First accredited employer since 2021 Apply now APPLY NOW and let’s make it happen!
QBE recognise the value of diverse perspectives and experience.
If we can provide support with access requirements, alternative work arrangements or you would like to connect with one of our networks please contact us at recruitment@qbe.com Skills: Adaptability, Analytical Thinking, Conflict Management, Critical Thinking, Customer Service, Event Management, Financial Systems, Individual Resilience, Information Security, Information Security Management, Intentional collaboration, Managing performance, Problem Solving, Risk Management, Threat Mitigation Application Close Date: 07/07/2025 11:59 PM How to Apply: To submit your application, click ""Apply"" and follow the step by step process.
Equal Employment Opportunity: QBE is an equal opportunity employer and is required to comply with equal employment opportunity legislation in each jurisdiction it operates.",0
Operations Service Manager,"We have an incredible opportunity for an experienced Operations Service Manager to join our team in Melbourne on a full-time permanent basis.
Your responsibilities : Service Oversight & Governance Oversee SLA, KPI, and contractual compliance across service delivery.
Minimum of 5 years’ experience leading support teams, with proven ability to manage day-to-day performance and team development.
Hands-on experience with ITIL frameworks and operational processes.
Experience with reliability engineering and predictive maintenance strategies.
Excellent communication and stakeholder management skills.
Our culture thrives on mutual respect, responsibility, professionalism, dynamism while working together as a team towards achieving our goals.
Our offer: Hybrid and supportive Team Environment Continuous Learning through various platforms Access to EAP for the employee and family members 24/7 International career website - Opportunity to grow within our team or beyond Paid Birthday Leave Christmas Special Leave Company sponsored socials activities and end of year activities How to apply: We welcome all applicants with the required qualifications including Australia’s first peoples and those on bridging visa and permanent resident visa.
Candidates progressing to the pre-employment stage must present evidence of right to work in Australia and consent to obtaining additional checks that may include identity, verification, reference checks, criminal background checks, visa/immigration checks, and verification of academic qualifications.",3
Junior Security Operations Analyst,"Familiarity with cloud security, Active Directory, and basic scripting (e.g., PowerShell, Linux shell) would be beneficial Experience with MS Office and an awareness of the OSI Model and modern security practices.
Strong communication and customer service skills with a proactive, can-do attitude.
What you'll get Not only will you receive an awesome candidate experience from our caring Talent team, the benefits of working with us are pretty good too!
We're committed to Inclusion & Diversity with a range of initiatives such as our Gender Affirmation Support, employee inclusion networks and diversity memberships and celebrations Feel valued with experiences that are tailored to you, we'll always start from a 'yes' Support your health and wellbeing with our comprehensive (and free) app to support you and your family's mental and physical health Make positive impacts with opportunities to volunteer with our community partners.",1
"Data Centre Security Manager, Data Centre Security","We are looking for a Data Centre Security Manager for our private cloud infrastructure in Australia.
We need someone with experience managing security of large critical installations, ideally data centres; and who can set strategy, manage budgets, lead projects, and drive improvements in our security practices and operations.
You’ll oversee the work of cleared and uncleared vendors, contractors, and Amazon employees, to ensure our customers’ stringent security requirements are met.
As a leader in private cloud data centre security, you will engage with senior leadership across AWS and our customers, including writing and presenting documents on your ideas, operational procedures, and results.
Key job responsibilities This role requires the ability to adapt to a dynamic operational environment, driven by changing customer requirements, build schedule changes, security vendor commitments, and evolving security threats.
The incumbent must be able to work at pace and adjusting priorities, while relying on established knowledge and experience in the cleared security space.
Must have the ability to interact with demanding customers and meet short notice customer driven deadlines.
Create, implement, communicate, and manage security requirements at a large, government accredited, multi-facility data centre site while providing day-to-day multi-discipline program security operations support.
Proactively identify program and physical security requirements, problems, and sound solutions to successfully sustain and enhance the security of program execution.
Perform and/or support the operations and maintenance of security hardware and systems employed onsite to meet government and AWS requirements.
Experience with workflow ticketing and extraction of performance metrics.
Executes established compliance processes with AWS policies, standards, guidelines and relevant legal and regulatory requirements.
Manage the security P&L for assigned site(s), assist management with financial analysis and contribute to financial decisions for security requirements.
You will promulgate clear guidance and direction to a team of contracted security officers, while ensuring they are resourced to support day-to-day activities in a high-tempo environment.
About The Team The team is comprised of security professionals with a cross section of national security, law enforcement, and private sector experience, providing a range of perspectives required for creative problem solving.
And you’ll experience an inclusive culture that welcomes bold ideas and empowers you to own them to completion.
Ongoing events and learning experiences, including our Conversations on Race and Ethnicity (CORE) and AmazeCon conferences, inspire us to never stop embracing our uniqueness.
Basic Qualifications Expertise in physical security systems to include facility security installations, surveillance systems, and electronic access control systems.
Demonstrated track record of growth and increasing responsibility that require maturity, judgment, negotiation, analytics, and influence skills.
Preferred Qualifications Proven ability to influence business partners and supporting teams Ability to manage 24x7 security operations to include short-notice response to emerging operational issues Ability to able to credibly coordinate between technical teams and business stakeholders Acknowledgement Of Country In the spirit of reconciliation Amazon acknowledges the Traditional Custodians of country throughout Australia and their connections to land, sea and community.",1
Level 1 Security Analyst,"The role also includes responsibility for assessing and supporting remediation of vulnerabilities across systems and services.
What you'll need to succeed ● Experienced in Microsoft Entra ID for identity monitoring and policy enforcement.
Experienced in tracking incidents and tasks within ServiceNow.",1
Cyber Security Engineer Splunk,"Direct message the job poster from Emmbr Lara Diz Lara Diz Cybersecurity Talent Scout @Emmbr - I connect Top Cybersecurity professionals with leading companies Join a major cyber uplift project within a real enterprise impact 6 month contract position with likelihood of extension on a hybrid basis Melbourne (preferred), Sydney or Brisbane About the Role Manage and maintain Splunk Universal and Heavy Forwarders, including updates and app deployments Onboard and configure new data sources, ensuring alignment with the Common Information Model (CIM) Monitor and optimize Splunk performance for indexing and search efficiency Develop and maintain dashboards, alerts, and reports in collaboration with IT and business units (Bonus) Contribute to automation and response initiatives using Splunk SOAR and playbooks About You Proven experience as a Security Engineer working with Splunk in a mid-to-large scale enterprise environment Strong troubleshooting skills across data ingestion, indexing, and search Skilled in working across teams to build effective dashboards, alerts, and reporting Exposure to at least two of the following:Cloud, SaaS security, IAM, PAM, Network security Ready to make a real impact on Cybersecurity?",3
Senior Cybersecurity Consultant,"Using your cybersecurity expertise, you will join ANZ's largest cybersecurity and connectivity services company as part of a dedicated team, proud of delivering top of the range advice and guidance to our customers.
What You'll Do: As a Senior Cybersecurity Consultant, you will a trusted advisor to Datacom's customers and internal stakeholders, understanding their cybersecurity needs and providing expert guidance and security solutions.
Your core responsibilities will include: Collaborating with cross functional teams to ensure a shared understanding of security risks and propose fit for purpose mitigations Being responsible for leading and maintaining systems and specific components of systems, providing specialist technical expertise in multi-platform IT environments, and performing analytical assignments as required by project management Influencing the Cybersecurity strategy and processes of the organisation's information systems and networks Guide the development of security policies, procedures, and standards Identifying security requirements for new applications and other software products Advising management on security issues, including legislation and adoption of new security technologies Reviewing new and existing Information Technology projects for compliance to Cybersecurity architecture by developing, documenting, and communicating strategies and standards What You'll Bring: You will bring advanced understanding of tools, techniques, and procedures that modern attackers use to compromise organisations, along with knowledge of networks, firewalls, proxies' concepts and technologies.
Additionally, you will have: Knowledge of operating system command-line and system/server diagnostic tools and fault identification techniques Knowledge of systems engineering theories, concepts, and methods Knowledge of organisational IT user security policies (e.g., account creation, password rules, access control) Knowledge of systems administration concepts Knowledge of measures or indicators of system performance and availability Familiarity with common threat intelligence frameworks and standards (e.g., MITRE ATT&CK, STIX/TAXII) Familiarity and exposure to working on Intelligence platforms Skills in Sentinel and Microsoft Defender Suite are highly desirable, as are other Security Technologies such as CrowdStrike, Azure, Check Point, Palo Alto, and Fortinet Specialist knowledge of Cybersecurity principles and practices Expert knowledge of information systems, operating systems, databases, and networking Knowledge of the outsourced IT services market and infrastructure project requirements Strategies to Mitigate Cyber Security Incidents (like ACSC Essential 8) Knowledge of finance management practices with a clear understanding of the relationship between costs, utilisation, and project revenue At least 9+ years' experience in IT with 5+ years' experience specialising in Cybersecurity Experience in a Managed Security Service Provider (MSSP) environment Why join us here at Datacom?
You will be recognised and valued for your contributions and be able to do your work in a collegial, flat-structured environment.
We operate at the forefront of technology to help Australia and New Zealand's largest enterprise organisations explore possibilities and solve their greatest challenges, so you will never run out of interesting new challenges and opportunities.",0
Cybersecurity GRC Consultant,"We believe that cybersecurity risk and compliance should be meaningful, actionable, and based on real-world experience.
This is a hybrid role that requires working from our Melbourne office two days per week, with flexibility for remote work on the remaining days.
About the Role You will work within our Advisory practice, reporting to a Senior GRC Consultant.
You will have the opportunity to work with a broad range of organisations across different industries and maturity levels.
You will lead discussions with technical and non-technical stakeholders, develop clear and effective reporting that informs decision-making at the executive and board levels, and help clients understand where they stand today and what to prioritise moving forward.
We are looking for someone who not only understands security frameworks but also understands how these frameworks apply to real environments.
Key Responsibilities Conduct cybersecurity risk assessments aligned to ISO 27001, NIST CSF, Essential Eight, and other frameworks Perform gap assessments and control maturity reviews for compliance, regulatory, or best-practice purposes Develop Information Security Management System (ISMS) documentation and support clients through implementation and certification Prepare and deliver board and executive-level reporting that clearly communicates risk and remediation priorities Facilitate workshops and engage directly with stakeholders at all levels within client environments Work closely with internal teams, including our detection and response, offensive security, and digital forensics specialists, to ensure insights are based on real-world experience Build and maintain long-term relationships with clients and support them throughout their cyber maturity journey About You We are looking for someone who genuinely cares about solving security challenges and wants to grow their career in a team that values quality and integrity.
You will be successful in this role if you have: Hands-on experience in cybersecurity governance, risk, and compliance, ideally across multiple clients or sectors A good understanding of ISO 27001 and other key frameworks such as NIST CSF and the Essential Eight Experience conducting risk assessments and delivering security documentation such as risk registers, policies, and board reports Confidence in working with stakeholders across business units, including executive teams, IT departments, and compliance officers The ability to challenge assumptions constructively and ask the right questions to validate controls An understanding of technical concepts, even if you are not hands-on in a security operations or engineering role A willingness to learn, contribute, and take ownership of your work Why Join Triskele Labs Triskele Labs is a fast-growing cybersecurity company with a reputation for excellence and a focus on practical security outcomes.
You will work alongside a team of highly experienced professionals across governance, technical advisory, offensive security, incident response, and managed detection and response.",0
IAM / ISVA Specialist,"You will work directly with the client’s internal delivery team, acting as the technical SME for IBM Security Verify Access (ISVA).
Responsibilities include implementing IAM solutions, conducting workshops, performing health checks, modernizing IAM systems, and ensuring compliance with security best practices.
The Successful Candidate To succeed in this role, you will bring: Australian Citizenship and the ability to obtain NV1 security clearance.
Strong experience in IAM integration and the IBM Security Verify product suite.
Hands-on experience with IBM Security Identity Manager, Directory Integrator, and Directory Server.
Preferred skills include DevOps automation, mobile SDKs, containerization, virtual appliances, and IBM Security Verify SaaS.
Excellent communication, stakeholder engagement, and documentation skills.",0
Security Engineer,"As a Security Engineer you will be a responsible for growing our security function, maintaining security operations, vulnerability management, cloud security engineering, and identity/access governance.
Responsibilities: Lead vulnerability management across swipejobs’ enterprise environment (AWS Cloud, applications, on-prem) Own and maintain swipejobs' security policies, standards, and procedures Produce security metrics and reporting for internal and external stakeholders Support audit and compliance efforts (SOC2, ISO, etc.) Monitor and triage security alerts, coordinate response with our MSSP (Expel) Contribute to infrastructure hardening, logging, and detection improvements Design and implement scalable IAM and PAM solutions in AWS and enterprise systems Operate and improve User Access Review (UAR) processes with IT and business teams Requirements: Experience in security roles across analyst, engineer, or architecture disciplines Strong AWS security experience, including networking, IAM, and monitoring tools Solid understanding of modern vulnerability management and cloud risk Experience with IAM/PAM tools and governance practices Scripting or automation experience (Python, Bash, or similar) Experience with SOC2 / ISO 27001 audits Familiarity with tools like Expel, ELK stack, Kafka, MongoDB, Spark Exposure to startup or product-led companies Why swipejobs: Be part of a market-leading U.S.",3
IT Support Specialist,"We are looking for a dedicated IT Support Specialist to join our team.
You will provide both on-site and remote support, which requires working in the office 2-3 days per week on average.
+3 years of experience in IT Support (service desk, desktop, or infrastructure).
Experience working within a technical or engineering organization/knowledge of the high-technology industry is an asset.
Strong analytical skills with the ability to problem-solve to well-judged decisions.
Even if you don't feel you meet every single requirement, we still encourage you to apply.
When working from home, you are required to have a reliable internet connection with at least 50mb DL/10mb UL.
If you require accommodation at any stage of the application process or want more information about our diversity and inclusion as well as accommodation policies and practices, please contact us at careers@geotab.com.",0
Electronic Security Technician / Manager,"Direct message the job poster from First Security Response Akira Vickery Akira Vickery General Manager | HR & Operations Specialist | ISO Compliance | Driving Excellence at FSR Group Services (First Security Response) Electronic Security Manager – $100,000 + Work Vehicle Provided Salary: $100,000 per annum + fully equipped work vehicle & tools | Negotiable based on experience Location: South Australia | Operations Hub: Mawson Lakes Employment Type: Full-Time About Us FSR is a locally owned South Australian business specialising in high-quality electronic security solutions.
Due to continued growth, we’re looking for an experienced Electronic Security Technician to lead our technical team.
About You To be successful, you’ll have: ✔ Extensive experience in the electronic security industry, with strong hands-on knowledge of Integriti systems .
✔ Excellent problem-solving skills and the confidence to support and lead a team.
What We Offer Salary: $100,000 per annum (negotiable based on experience) Work Vehicle Provided: Fully equipped company vehicle for work use.
Tools Supplied: All required tools and equipment supplied.
Training & Support: Ongoing training in new products, systems, and leadership skills.
Click APPLY NOW and submit your resume with a brief cover letter highlighting your experience and what you’d bring to this role.",4
Assistant IT Manager,"Key Duties & Responsibilities IT Management & Performance Maintain and enhance Best Sheds effectiveness and efficiency by defining, delivering, and supporting strategic plans for implementing information technologies Complete key projects by coordinating resources and timetables with user divisions Identifying and acting on opportunities to improve and update software and systems Manage a small IT team IT Systems & Processes Verify application results by conducting system audits of technologies implemented Manage automation process for process efficiency and profitability Preserve assets by implementing disaster recovery and back-up procedures and information security and control structures Maintain quality service by establishing and enforcing industry standards OH&S Follow and promote all systems and processes to ensure that OHS requirements are met.
Administration Develop and implement all IT policies and procedures, including those for architecture, security, disaster recovery, standards, purchasing, and service provision Manage financial aspects of the IT Division, including purchasing, budgeting, and budget review Produce monthly reports/communication on IT functions as required Any other duties as directed by the Chief Financial Officer Interpersonal Skills Excellent stakeholder engagement both internal and external Excellent negotiation and conflict resolution skills and experience consulting across and multi-disciplined business Confidentiality and privacy is a necessity High level of initiative Attention to detail and accuracy Well-developed written and oral communication skills Management Skills Ability to analyse risk and develop mitigation strategies for the business Adaptability in busy times Proven problem-solving ability Good organisational and prioritising ability Proven people management and team building skills Key Performance Indicators Timely implementation of IT strategy Accurate, proactive and timely reporting of all IT matters High rates of business continuity from IT services Development of IT personnel to support the IT function Compliance with IT licencing laws Show more Show less Seniority level Mid-Senior level Employment type Other Job function Information Technology Industries Technology, Information and Media",4
"Security Engineer, AWS Security","You will work closely with our security team to implement and maintain robust security measures that adhere to Australian Government security requirements, including the Protective Security Policy Framework (PSPF) and the Information Security Manual (ISM).
Key job responsibilities Key Responsibilities May Include Assist in implementing and maintaining security measures to safeguard systems and infrastructure, gaining valuable hands-on experience in foundational security practices.
Support security assessments and audits to identify vulnerabilities and risks, learning alongside experienced professionals to enhance risk mitigation skills Work closely with cross-functional teams to contribute ideas and support the design and deployment of security solutions, gaining exposure to collaborative project environments Learn to monitor security systems and assist in responding to security incidents under guidance, developing essential incident response skills.
Offer support and guidance to internal teams on security best practices, learning from experienced mentors while assisting in implementing security measures effectively.
Throughout the day, they collaborate closely with the security team to analyze security incidents and contribute to the development of response strategies, learning from experienced professionals in incident response.
Additionally, they conduct security assessments on new systems and applications, honing their skills in evaluating security risks and vulnerabilities.
In meetings with cross-functional teams, they actively participate in discussions on security requirements and initiatives, gaining insights into the broader organizational security landscape.
This hands-on experience and exposure to various aspects of security operations are essential for their growth and development in the field.
About The Team Diverse Experiences Amazon Security values diverse experiences.
Even if you do not meet all of the preferred qualifications and skills listed in the job description, we encourage candidates to apply.
If your career is just starting, hasn’t followed a traditional path, or includes alternative experiences, don’t let it stop you from applying.
Why Amazon Security At Amazon, security is central to maintaining customer trust and delivering delightful customer experiences.
We offer talented security professionals the chance to accelerate their careers with opportunities to build experience in a wide variety of areas including cloud, devices, retail, entertainment, healthcare, operations, and physical stores.
The team is comprised of security professionals with a cross section of national security and private sector experience, providing a range of perspectives required for creative problem solving.
Ongoing DEI events and learning experiences inspire us to continue learning and to embrace our uniqueness.
Addressing the toughest security challenges requires that we seek out and celebrate a diversity of ideas, perspectives, and voices.
Basic Qualifications 3+ years of programming in Python, Ruby, Go, Swift, Java, .Net, C++ or similar object oriented language experience Bachelor's degree in computer science or equivalent Knowledge of networking protocols such as HTTP, DNS and TCP/IP Preferred Qualifications 2+ years of any combination of the following: threat modeling experience, secure coding, identity management and authentication, software development, cryptography, system administration and network security experience Experience with AWS products and services Experience with programming languages such as Python, Java, C++ Acknowledgement Of Country In the spirit of reconciliation Amazon acknowledges the Traditional Custodians of country throughout Australia and their connections to land, sea and community.",3
Senior Software Engineering Manager (Relocation to Bangkok),"With over a decade of experience, we’re trusted by 300+ publishers—including Activision, Bigo, Electronic Arts, Moonton, and Riot Games—to grow their revenue and audiences worldwide.
About The Role With our Engineering Hub in Thailand, we are building a rock-solid global payment, cross-border FX, and payment fraud platform and are seeking experienced engineering leaders who can elevate our global payment experience to the next level.
Responsibilities Lead, guide and mentor multiple software engineering teams and engineering managers Take ownership of one or more key systems at Coda, working with your team to constantly drive our technology forward and defining an aggressive technology roadmap Work closely with the Product team to ensure goals and work is clearly defined, at both the OKR and day-to-day levels Own the execution of product and technical goals Coach team members using continuous improvement techniques, resulting in a high-performance team Collaborate with the recruiting team to attract strong engineering talent Requirements Passion for building great products and software Exemplary communication skills, both written and oral Experience in an agile environment, with the ability to analyze and optimize team productivity 5+ years of experience as a successful software engineer working on hard problems 2+ years as a technical lead, manager, architect, or other leadership position Strong experience with data technologies (RDBMS, NoSQL, message queues, etc.) The ability to query, analyze, and work with data to drive decision making Expert architectural skills The ability to write and review code as necessary Able to quickly learn or evaluate new technologies Bonus if you have Experience with extremely high scale, distributed systems Deep knowledge of security or cryptography Machine learning and big data knowledge Experience building systems in the AWS cloud Working at Coda With Codans spread across over 20 countries worldwide, our fast-paced, challenging, and highly collaborative environment breaks down time zones and cultural barriers, empowering you to chase innovative ideas, contribute to Coda’s growth, and make a lasting impact.",3
Network Security Engineer (Palo Alto),"What you’ll be doing: Supporting and enhancing Palo Alto firewall environments Consulting with stakeholders to understand technical and business requirements Working within change management frameworks Implementing network segmentation strategies and policies Configuring interfaces, zones, routing tables , and virtual routers Reviewing and optimizing firewall rules , including ""any-any"" rules What we’re looking for: 2+ years hands-on experience with Palo Alto firewalls Strong understanding of routing and networking from a firewall perspective Experience with network segmentation design and implementation Familiarity with change control processes and documentation Proven ability to analyze and implement firewall policy rules Location: Melbourne Contract Length: 4 months Start Date: ASAP Show more Show less Seniority level Mid-Senior level Employment type Contract Job function Information Technology Industries Technology, Information and Media",3
"Threat Analyst, APAC","With over a decade of analyzing data, more than 80 registered patents, and unparalleled experience, BioCatch continues to innovate to solve tomorrow’s problems.
We are looking for an exceptional customer-facing Threat Analyst to help our prospects and customers optimize their value within BioCatch solutions.
The BioCatch Threat Analyst is a consultancy role that involves a combination of skills.
You will be comfortable completing advanced analytics, advising customers on fraud detection/prevention and strategy with your domain knowledge expertise and communicating with customers from C-level to operational fraud investigators.
With a support network of Threat Analysts distributed globally, you will become a key individual in the global fight against digital fraud.
It can be difficult to distill this role down to a regular day-to-day, because every day is different, however some key responsibilities include: Maintain strong relationships with fellow fraud fighters within the BioCatch customer base to support and enable them to get maximum value out of the BioCatch solutions.
Requirements: A bachelors / graduate degree in Computer Science/Mathematics/Statistics/related field Experience with financial institutions’ fraud departments and/or fraud monitoring tools Experience working within cross-functional teams Experience with SQL to an intermediate/advanced level Experience with Python and/or R (advantage) Understanding of statistical modeling techniques Strong presentation skills with a proven record of presenting to a range of audience types Great business and customer relationships Good communications and teamwork Self and quick learner Professional attitude Notes: Requires availability for travel around the APAC Region to meet customers and lead onsite workshops While this is role is on a remote basis, we will require the incumbent to be onsite at the client's office 2-3 times a week Primary Location: Sydney Show more Show less Seniority level Mid-Senior level Employment type Full-time Job function Information Technology Industries Computer and Network Security",1
"GRC Specialist, AWS Security","The successful candidate is a problem-solver, quick-study, with a broad understanding of the regulatory landscape, cloud technologies, experience in security and compliance.
Key job responsibilities Serve as the GRC Specialist for designated (physical and/or logical) components within the cloud capability, to perform assurance and authorization activities to ensure adherence to standards and protocols.
Collaborate with internal teams and customers to establish baselines and level-set the security requirements, security controls, and security objectives.
Hold or be able to attain an Australian Government Security Vetting Agency clearance (see https://www.agsva.gov.au/applicants/eligibility-and-suitability) A day in the life In your day-to-day you will need to exercise sound judgment in making trade-offs between short versus long term security and business goals.
You will demonstrate resilience and navigate difficult situations with composure and tact, with a goal to achieve a great outcome for the customer.
You will be successful in this role by regularly analysing your own performance with a critical eye.
A broad understanding of the AWS business and its interconnections is required.
About The Team Diverse Experiences AWS values diverse experiences.
Even if you do not meet all of the preferred qualifications and skills listed in the job description, we encourage candidates to apply.
If your career is just starting, hasn’t followed a traditional path, or includes alternative experiences, don’t let it stop you from applying.
Why Amazon Security At Amazon, security is central to maintaining customer trust and delivering delightful customer experiences.
We offer talented security professionals the chance to accelerate their careers with opportunities to build experience in a wide variety of areas including cloud, devices, retail, entertainment, healthcare, operations, and physical stores.
The team is comprised of security professionals with a cross section of national security and private sector experience, providing a range of perspectives required for creative problem solving.
Basic Qualifications 7+ years experience working in areas related to security assurance, such as cybersecurity, auditing, security architecture, regulatory affairs or public sector agencies involved in cybersecurity management.
Experience working with governance, risk and compliance programs that directly involve interaction with regulatory bodies.
ASD Essential Eight) Experience working with cloud technologies.
Preferred Qualifications Degree or equivalent experience in (Computer Science, Engineering, Cyber Security, IT Security Management, Security Risk Management)a related security field Minimum 7 years experience in implementing and operationalising security to meet business outcomes Proven ability to not only influence but lead business partners and supporting teams Ability to able to credibly coordinate between technical teams and business stakeholders Strong communication skills.",0
